"","plot","mortality"
"594","MS1_sbs_1159_5257",2
"595","MS1_sbs_1160_5257",19
"596","MS1_sbs_1161_5257",2
"597","MS1_sbs_1163_5257",20
"598","MS1_sbs_1164_5455",19
"599","MS1_sbs_1165_5455",5
"600","MS1_sbs_1167_5257",12
"601","MS1_sbs_1168_5257",15
"602","MS1_sbs_1169_5454",3
"603","MS1_sbs_1171_5257",20
"604","MS1_sbs_1172_5257",18
"605","MS1_sbs_1173_5257",5
"606","MS1_sbs_1174_5257",18
"607","MS1_sbs_1176_5257",0
"608","MS1_sbs_1178_5455",5
"609","MS1_sbs_1181_5257",14
"610","MS1_sbs_1182_5455",2
"611","MS1_sbs_1183_5454",4
"612","MS1_sbs_1184_5257",17
"613","MS1_sbs_1185_5455",15
"614","MS1_sbs_1187_5454",4
"615","MS1_sbs_1191_5257",10
"616","MS1_sbs_1192_5455",4
"617","MS1_sbs_1195_5257",20
"618","MS1_sbs_1196_5454",9
"619","MS1_sbs_1197_5257",6
"620","MS1_sbs_1199_5455",10
"621","MS1_sbs_1201_5454",18
"622","MS1_sbs_1202_5257",12
"623","MS1_sbs_1204_5257",20
"624","MS1_sbs_1205_5455",3
"625","MS1_sbs_1206_5257",8
"626","MS1_sbs_1209_5455",9
"627","MS1_sbs_1211_5257",5
"628","MS1_sbs_1213_5454",7
"629","MS1_sbs_1214_5454",7
"630","MS1_sbs_1215_5454",10
"631","MS1_sbs_1218_5257",0
"632","MS1_sbs_1219_5257",16
"633","MS1_sbs_1220_5257",1
"634","MS1_sbs_1223_5257",14
"635","MS1_sbs_1224_5257",15
"636","MS1_sbs_1228_5257",13
"637","MS1_sbs_1231_5257",19
"638","MS1_sbs_1232_5257",1
"639","MS1_sbs_1235_5257",2
"640","MS1_sbs_1236_5257",0
"641","MS1_sbs_1239_5257",13
"642","MS1_sbs_1241_5257",12
"643","MS1_sbs_1242_5454",16
"644","MS1_sbs_1243_5257",13
"645","MS1_sbs_1244_5257",14
"646","MS1_sbs_1245_5257",19
"647","MS1_sbs_1247_5257",19
"648","MS1_sbs_1249_5455",18
"649","MS1_sbs_1253_5454",9
"650","MS1_sbs_1256_5455",2
"651","MS1_sbs_1257_5257",0
"652","MS1_sbs_1262_5454",14
"653","MS1_sbs_1263_5257",4
"654","MS1_sbs_1265_5454",19
"655","MS1_sbs_1266_5257",6
"656","MS1_sbs_1270_5257",0
"657","MS1_sbs_1272_5454",7
"658","MS1_sbs_1273_5455",5
"659","MS1_sbs_1274_5257",15
"660","MS1_sbs_1280_5454",20
"661","MS1_sbs_1281_5257",0
"662","MS1_sbs_1283_5257",15
"663","MS1_sbs_1284_5257",12
"664","MS1_sbs_1285_5257",15
"665","MS1_sbs_1286_5455",17
"666","MS1_sbs_1288_5257",9
"667","MS1_sbs_1289_5257",11
"668","MS1_sbs_1291_5454",19
"669","MS1_sbs_1292_5257",4
"670","MS1_sbs_1294_5257",0
"671","MS1_sbs_1295_5257",2
"672","MS1_sbs_1302_5455",3
"673","MS1_sbs_1304_5454",17
"674","MS1_sbs_1305_5257",17
"675","MS1_sbs_1306_5257",8
"676","MS1_sbs_1307_5455",2
"677","MS1_sbs_1308_5257",9
"678","MS1_sbs_1310_5455",1
"679","MS1_sbs_1311_5257",8
"680","MS1_sbs_1312_5455",1
"681","MS1_sbs_1316_5257",12
"682","MS1_sbs_1317_5257",11
"683","MS1_sbs_1318_5257",20
"684","MS1_sbs_1319_5257",16
"685","MS1_sbs_1320_5454",0
"686","MS1_sbs_1327_5257",19
"687","MS1_sbs_1328_5454",13
"688","MS1_sbs_1330_5257",3
"689","MS1_sbs_1331_5257",20
"690","MS1_sbs_1335_5257",9
"691","MS1_sbs_1341_5455",9
"692","MS1_sbs_1342_5257",15
"693","MS1_sbs_1349_5257",9
"694","MS1_sbs_1352_5455",3
"695","MS1_sbs_1354_5257",19
"696","MS1_sbs_1355_5257",9
"697","MS1_sbs_1357_5257",12
"698","MS1_sbs_1361_5257",20
"699","MS1_sbs_1363_5455",2
"700","MS1_sbs_1365_5257",4
"701","MS1_sbs_1367_5257",2
"702","MS1_sbs_1368_5454",5
"703","MS1_sbs_1369_5257",16
"704","MS1_sbs_1370_5257",20
"705","MS1_sbs_1372_5455",17
"706","MS1_sbs_1373_5257",9
"707","MS1_sbs_1374_5257",15
"708","MS1_sbs_1377_5257",14
"709","MS1_sbs_1378_5257",0
"710","MS1_sbs_1381_5454",9
"711","MS1_sbs_1383_5455",2
"712","MS1_sbs_1387_5257",3
"713","MS1_sbs_1388_5257",19
"714","MS1_sbs_1391_5455",19
"715","MS1_sbs_1393_5455",3
"716","MS1_sbs_1397_5454",3
"717","MS1_sbs_1399_5257",6
"718","MS1_sbs_1402_5257",8
"719","MS1_sbs_1403_5257",12
"720","MS1_sbs_1404_5257",15
"721","MS1_sbs_1405_5257",8
"722","MS1_sbs_1408_5257",8
"723","MS1_sbs_1409_5454",7
"724","MS1_sbs_1411_5257",9
"725","MS1_sbs_1416_5455",10
"726","MS1_sbs_1419_5257",7
"727","MS1_sbs_1420_5257",7
"728","MS1_sbs_1423_5455",4
"729","MS1_sbs_1424_5257",12
"730","MS1_sbs_1426_5455",4
"731","MS1_sbs_1427_5257",7
"732","MS1_sbs_1429_5455",10
"733","MS1_sbs_1430_5257",5
"734","MS1_sbs_1432_5455",4
